datetime (UTC),"coordinates (lat,lon)",temperature (degC),relative_humidity (0-1),wind_speed (m/s),surface_pressure (Pa),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),absolute_humidity (g/m^3),rainfall (mm)
6/24/2022 2:00,"(42.886717, -78.878392)",17.65,0.85,1.49,99015.2,0.0,0.0,12.79128808356395,0.0
6/24/2022 3:00,"(42.886717, -78.878392)",17.39,0.84,1.38,99004.63,0.0,0.0,12.44606419191249,0.0
6/24/2022 4:00,"(42.886717, -78.878392)",16.69,0.86,0.72,99002.33,0.0,0.0,12.21877837607962,0.0
6/24/2022 5:00,"(42.886717, -78.878392)",15.81,0.88,0.32,99025.77,0.0,0.0,11.856492902070082,0.0
6/24/2022 6:00,"(42.886717, -78.878392)",16.49,0.87,0.55,99069.78,0.0,0.0,12.213018157093094,0.0
6/24/2022 7:00,"(42.886717, -78.878392)",17.23,0.85,0.69,99120.19,0.0,0.0,12.474276618126273,0.0
6/24/2022 8:00,"(42.886717, -78.878392)",18.84,0.75,1.37,99209.66,0.0,0.0,12.112617992094947,0.0
6/24/2022 9:00,"(42.886717, -78.878392)",19.72,0.66,1.66,99247.74,0.0,0.0,11.225924222874683,0.0
6/24/2022 10:00,"(42.886717, -78.878392)",21.3,0.58,1.63,99264.78,0.0,0.0,10.817126509579431,0.0
6/24/2022 11:00,"(42.886717, -78.878392)",22.75,0.52,1.79,99253.36,0.0,0.0,10.542938701174004,0.0
6/24/2022 12:00,"(42.886717, -78.878392)",23.49,0.5,2.06,99253.28,0.0,0.0,10.575010289624531,0.0
6/24/2022 13:00,"(42.886717, -78.878392)",24.26,0.46,2.37,99250.01,0.0,0.0,10.163692476668857,0.0
6/24/2022 14:00,"(42.886717, -78.878392)",24.67,0.45,2.62,99230.23,0.0,0.0,10.17576413271995,0.0
6/24/2022 15:00,"(42.886717, -78.878392)",24.7,0.43,2.89,99230.4,0.0,0.0,9.739975332192952,0.0
6/24/2022 16:00,"(42.886717, -78.878392)",24.91,0.42,2.99,99192.89,0.0,0.0,9.62671285844538,0.0
6/24/2022 17:00,"(42.886717, -78.878392)",25.01,0.4,3.05,99209.99,0.0,0.0,9.220044838066501,0.0
6/24/2022 18:00,"(42.886717, -78.878392)",24.09,0.42,2.75,99255.75,0.0,0.0,9.190980905847772,0.0
6/24/2022 19:00,"(42.886717, -78.878392)",23.64,0.43,2.67,99265.77,0.0,0.0,9.172469403671164,0.0
6/24/2022 20:00,"(42.886717, -78.878392)",23.06,0.46,2.35,99285.3,0.0,0.0,9.493305105558678,0.0
6/24/2022 21:00,"(42.886717, -78.878392)",21.19,0.55,2.37,99315.53,0.0,0.0,10.19242839306244,0.0
6/24/2022 22:00,"(42.886717, -78.878392)",19.24,0.65,2.33,99336.41,0.0,0.0,10.74824761602619,0.0
6/24/2022 23:00,"(42.886717, -78.878392)",18.24,0.7,2.19,99332.94,0.0,0.0,10.910427999669867,0.0
6/25/2022 0:00,"(42.886717, -78.878392)",17.66,0.73,2.19,99342.35,0.0,0.0,10.992013781753089,0.0
6/25/2022 1:00,"(42.886717, -78.878392)",16.61,0.77,2.01,99333.66,0.0,0.0,10.887566929032264,0.0
6/25/2022 2:00,"(42.886717, -78.878392)",16.22,0.79,1.84,99347.62,0.0,0.0,10.910958929365577,0.0
6/25/2022 3:00,"(42.886717, -78.878392)",16.04,0.79,1.87,99355.77,0.0,0.0,10.793005889440044,0.0
6/25/2022 4:00,"(42.886717, -78.878392)",15.73,0.79,2.0,99411.02,0.0,0.0,10.59245322080926,0.0
6/25/2022 5:00,"(42.886717, -78.878392)",15.71,0.76,2.13,99391.15,0.0,0.0,10.177868037377264,0.0
6/25/2022 6:00,"(42.886717, -78.878392)",16.63,0.76,2.22,99426.78,0.0,0.0,10.759104782045208,0.0
6/25/2022 7:00,"(42.886717, -78.878392)",17.66,0.73,2.33,99454.52,0.0,0.0,10.992013781753089,0.0
6/25/2022 8:00,"(42.886717, -78.878392)",19.59,0.67,1.88,99492.29,0.0,0.0,11.309381613768178,0.0
6/25/2022 9:00,"(42.886717, -78.878392)",21.69,0.6,1.83,99498.21,0.0,0.0,11.44544849525697,0.0
6/25/2022 10:00,"(42.886717, -78.878392)",24.25,0.48,1.43,99472.26,0.0,0.0,10.599591524810819,0.0
6/25/2022 11:00,"(42.886717, -78.878392)",25.97,0.43,0.88,99487.97,0.0,0.0,10.459463252193409,0.0
6/25/2022 12:00,"(42.886717, -78.878392)",26.85,0.39,0.75,99471.22,0.0,0.0,9.962584750718099,0.0
6/25/2022 13:00,"(42.886717, -78.878392)",28.02,0.37,0.68,99434.33,0.0,0.0,10.082263933142578,0.0
6/25/2022 14:00,"(42.886717, -78.878392)",28.66,0.36,0.91,99403.88,0.0,0.0,10.160002157901154,0.0
6/25/2022 15:00,"(42.886717, -78.878392)",29.17,0.36,0.72,99360.69,0.0,0.0,10.446718894441846,0.0
6/25/2022 16:00,"(42.886717, -78.878392)",29.39,0.37,0.2,99251.16,0.0,0.0,10.866206738186,0.0
6/25/2022 17:00,"(42.886717, -78.878392)",29.76,0.34,1.13,99230.55,0.0,0.0,10.18775819885138,0.0
6/25/2022 18:00,"(42.886717, -78.878392)",28.75,0.4,0.58,99208.77,0.0,0.0,11.344559073191043,0.0
6/25/2022 19:00,"(42.886717, -78.878392)",28.35,0.43,0.77,99168.44,0.0,0.0,11.931356185007827,0.0
6/25/2022 20:00,"(42.886717, -78.878392)",27.5,0.46,1.52,99188.38,0.0,0.0,12.180907275744895,0.0
6/25/2022 21:00,"(42.886717, -78.878392)",25.57,0.53,1.97,99159.26,0.0,0.0,12.606705336556404,0.0
6/25/2022 22:00,"(42.886717, -78.878392)",23.66,0.61,2.11,99171.76,0.0,0.0,13.026915287387473,0.0
6/25/2022 23:00,"(42.886717, -78.878392)",23.13,0.63,3.11,99166.66,0.0,0.0,13.05378753749432,0.0
6/26/2022 0:00,"(42.886717, -78.878392)",23.33,0.63,4.11,99140.55,0.0,0.0,13.203599450362095,0.0
6/26/2022 1:00,"(42.886717, -78.878392)",22.7,0.64,4.67,99125.88,0.0,0.0,12.938811938143377,0.0
6/26/2022 2:00,"(42.886717, -78.878392)",22.41,0.63,5.0,99108.2,0.0,0.0,12.526523777598841,0.0
6/26/2022 3:00,"(42.886717, -78.878392)",22.15,0.64,5.16,99047.09,0.0,0.0,12.536572093175598,0.0
6/26/2022 4:00,"(42.886717, -78.878392)",21.73,0.66,4.88,99033.45,0.0,0.0,12.619108433842063,0.0
6/26/2022 5:00,"(42.886717, -78.878392)",21.35,0.68,4.51,99025.51,0.0,0.0,12.718931690668029,0.0
6/26/2022 6:00,"(42.886717, -78.878392)",21.69,0.75,4.2,99040.63,0.0,0.0,14.30681061907121,0.0
6/26/2022 7:00,"(42.886717, -78.878392)",22.4,0.74,4.47,99026.01,0.0,0.0,14.70524699935368,0.0
6/26/2022 8:00,"(42.886717, -78.878392)",23.66,0.7,4.15,98978.26,0.0,0.0,14.948919182247916,0.0
6/26/2022 9:00,"(42.886717, -78.878392)",24.51,0.68,4.42,98969.55,0.0,0.0,15.238461371946741,0.0
6/26/2022 10:00,"(42.886717, -78.878392)",25.11,0.65,5.02,98968.12,0.0,0.0,15.067069448317685,0.0
6/26/2022 11:00,"(42.886717, -78.878392)",25.59,0.63,4.76,98931.74,0.0,0.0,15.002124573586888,0.0
6/26/2022 12:00,"(42.886717, -78.878392)",25.3,0.65,4.74,98935.72,0.17,0.0,15.228742568558342,0.17
6/26/2022 13:00,"(42.886717, -78.878392)",24.71,0.71,4.95,98915.42,0.66,0.0,16.09135709401239,0.66
6/26/2022 14:00,"(42.886717, -78.878392)",24.51,0.72,4.68,98862.94,0.42,0.0,16.134841452649486,0.42
6/26/2022 15:00,"(42.886717, -78.878392)",24.65,0.7,4.48,98813.61,0.29,0.0,15.811116522298535,0.29
6/26/2022 16:00,"(42.886717, -78.878392)",24.92,0.7,4.52,98762.71,0.16,0.0,16.05355741604596,0.16
6/26/2022 17:00,"(42.886717, -78.878392)",25.53,0.67,5.65,98762.63,0.0,0.0,15.90110606686733,0.0
6/26/2022 18:00,"(42.886717, -78.878392)",24.38,0.74,3.83,98629.05,0.0,0.0,16.461651528122044,0.0
6/26/2022 19:00,"(42.886717, -78.878392)",24.17,0.75,4.04,98672.27,0.0,0.0,16.48701817850766,0.0
6/26/2022 20:00,"(42.886717, -78.878392)",23.48,0.78,4.29,98652.34,0.05,0.0,16.487625182005093,0.05
6/26/2022 21:00,"(42.886717, -78.878392)",22.97,0.8,4.69,98686.95,0.05,0.0,16.42538992033009,0.05
6/26/2022 22:00,"(42.886717, -78.878392)",22.16,0.83,4.89,98710.91,0.18,0.0,16.267725275268116,0.18
6/26/2022 23:00,"(42.886717, -78.878392)",21.51,0.86,5.31,98709.73,0.38,0.0,16.235355294857026,0.38
6/27/2022 0:00,"(42.886717, -78.878392)",21.0,0.88,5.3,98701.89,0.34,0.0,16.129066553831713,0.34
6/27/2022 1:00,"(42.886717, -78.878392)",20.21,0.91,4.9,98688.7,0.31,0.0,15.928700715651772,0.31
6/27/2022 2:00,"(42.886717, -78.878392)",19.98,0.94,4.69,98768.38,0.45,0.0,16.23394014611679,0.45
6/27/2022 3:00,"(42.886717, -78.878392)",19.41,0.91,4.4,98820.91,0.02,0.0,15.198859033788082,0.02
6/27/2022 4:00,"(42.886717, -78.878392)",18.18,0.84,3.19,98870.15,0.0,0.0,13.045948079680183,0.0
6/27/2022 5:00,"(42.886717, -78.878392)",17.32,0.8,2.69,98915.38,0.0,0.0,11.803886142983258,0.0
6/27/2022 6:00,"(42.886717, -78.878392)",17.09,0.81,2.84,98976.48,0.0,0.0,11.788004824949452,0.0
6/27/2022 7:00,"(42.886717, -78.878392)",17.69,0.78,3.38,99069.54,0.0,0.0,11.765923786378714,0.0
6/27/2022 8:00,"(42.886717, -78.878392)",18.61,0.68,3.88,99084.95,0.0,0.0,10.833741081301435,0.0
6/27/2022 9:00,"(42.886717, -78.878392)",19.11,0.64,3.89,99158.6,0.0,0.0,10.502130829803237,0.0
6/27/2022 10:00,"(42.886717, -78.878392)",19.87,0.6,4.26,99186.88,0.0,0.0,10.295539903017893,0.0
6/27/2022 11:00,"(42.886717, -78.878392)",20.35,0.57,5.16,99196.77,0.0,0.0,10.059238436146172,0.0
6/27/2022 12:00,"(42.886717, -78.878392)",20.3,0.55,5.96,99243.37,0.0,0.0,9.67798789768302,0.0
6/27/2022 13:00,"(42.886717, -78.878392)",20.57,0.53,6.02,99252.34,0.0,0.0,9.47411621392692,0.0
6/27/2022 14:00,"(42.886717, -78.878392)",20.59,0.52,5.95,99252.48,0.0,0.0,9.306198175946658,0.0
6/27/2022 15:00,"(42.886717, -78.878392)",20.47,0.52,5.93,99241.56,0.01,0.0,9.241328258473562,0.01
6/27/2022 17:00,"(42.886717, -78.878392)",20.37,0.51,6.21,99252.73,0.01,0.0,9.010884561740244,0.01
6/27/2022 18:00,"(42.886717, -78.878392)",19.31,0.54,5.21,99303.8,0.01,0.0,8.966191659161177,0.01
6/27/2022 19:00,"(42.886717, -78.878392)",18.99,0.54,5.03,99325.52,0.0,0.0,8.798673310719366,0.0
6/27/2022 20:00,"(42.886717, -78.878392)",18.72,0.54,4.07,99376.23,0.0,0.0,8.659440812811638,0.0
6/27/2022 21:00,"(42.886717, -78.878392)",17.73,0.59,3.2,99418.13,0.0,0.0,8.92111588267727,0.0
6/27/2022 22:00,"(42.886717, -78.878392)",16.75,0.65,2.41,99481.75,0.0,0.0,9.2684844877959,0.0
6/27/2022 23:00,"(42.886717, -78.878392)",15.68,0.7,2.2,99517.48,0.0,0.0,9.357325649781636,0.0
6/28/2022 0:00,"(42.886717, -78.878392)",15.77,0.68,2.7,99532.74,0.0,0.0,9.139671807953771,0.0
6/28/2022 1:00,"(42.886717, -78.878392)",14.63,0.71,3.15,99570.31,0.0,0.0,8.90343980655531,0.0
6/28/2022 2:00,"(42.886717, -78.878392)",14.24,0.71,3.31,99578.38,0.0,0.0,8.693383652389326,0.0
6/28/2022 3:00,"(42.886717, -78.878392)",13.71,0.73,3.5,99600.24,0.0,0.0,8.65185978253061,0.0
6/28/2022 4:00,"(42.886717, -78.878392)",13.02,0.76,3.77,99629.04,0.0,0.0,8.63167211522419,0.0
6/28/2022 5:00,"(42.886717, -78.878392)",12.43,0.78,3.73,99652.09,0.0,0.0,8.540237215570452,0.0
6/28/2022 6:00,"(42.886717, -78.878392)",12.78,0.79,2.86,99710.95,0.0,0.0,8.83990134261621,0.0
6/28/2022 7:00,"(42.886717, -78.878392)",13.48,0.76,2.41,99730.95,0.0,0.0,8.880620622313042,0.0
6/28/2022 8:00,"(42.886717, -78.878392)",14.61,0.69,2.3,99770.54,0.0,0.0,8.642066892582047,0.0
6/28/2022 9:00,"(42.886717, -78.878392)",15.45,0.66,2.2,99800.56,0.0,0.0,8.700381425203698,0.0
6/28/2022 10:00,"(42.886717, -78.878392)",16.62,0.62,2.32,99819.04,0.0,0.0,8.771887005853461,0.0
6/28/2022 11:00,"(42.886717, -78.878392)",18.01,0.57,2.27,99833.82,0.0,0.0,8.763607172837345,0.0
6/28/2022 12:00,"(42.886717, -78.878392)",18.73,0.54,2.51,99840.02,0.0,0.0,8.664563396169381,0.0
6/28/2022 13:00,"(42.886717, -78.878392)",19.16,0.53,3.21,99865.19,0.0,0.0,8.722747266093231,0.0
6/28/2022 14:00,"(42.886717, -78.878392)",19.52,0.53,3.56,99834.05,0.0,0.0,8.909513209022547,0.0
6/28/2022 15:00,"(42.886717, -78.878392)",19.95,0.51,3.46,99808.69,0.0,0.0,8.79231741011739,0.0
6/28/2022 16:00,"(42.886717, -78.878392)",20.09,0.52,3.47,99775.2,0.0,0.0,9.038475514951767,0.0
6/28/2022 17:00,"(42.886717, -78.878392)",20.36,0.5,3.41,99720.73,0.0,0.0,8.82904565922423,0.0
6/28/2022 18:00,"(42.886717, -78.878392)",20.32,0.52,2.96,99696.12,0.0,0.0,9.160790137814294,0.0
6/28/2022 19:00,"(42.886717, -78.878392)",19.88,0.52,2.78,99629.38,0.0,0.0,8.928031292401252,0.0
6/28/2022 20:00,"(42.886717, -78.878392)",19.45,0.52,2.46,99655.94,0.0,0.0,8.705515659501385,0.0
6/28/2022 21:00,"(42.886717, -78.878392)",17.58,0.63,2.2,99681.65,0.0,0.0,9.441086426645604,0.0
6/28/2022 22:00,"(42.886717, -78.878392)",16.35,0.7,2.33,99724.18,0.0,0.0,9.744035638928885,0.0
6/28/2022 23:00,"(42.886717, -78.878392)",15.37,0.74,2.58,99697.96,0.0,0.0,9.707688568629255,0.0
6/29/2022 0:00,"(42.886717, -78.878392)",15.0,0.76,3.19,99677.08,0.0,0.0,9.748101811212917,0.0
6/29/2022 1:00,"(42.886717, -78.878392)",14.54,0.78,3.45,99656.87,0.0,0.0,9.727565164367865,0.0
6/29/2022 2:00,"(42.886717, -78.878392)",14.39,0.78,3.52,99636.03,0.0,0.0,9.638668662402573,0.0
6/29/2022 3:00,"(42.886717, -78.878392)",14.04,0.79,3.47,99608.63,0.0,0.0,9.554928094862712,0.0
6/29/2022 4:00,"(42.886717, -78.878392)",13.87,0.8,3.55,99616.21,0.0,0.0,9.575310556058213,0.0
6/29/2022 5:00,"(42.886717, -78.878392)",13.76,0.79,3.74,99580.66,0.0,0.0,9.391838909278711,0.0
